Whole Wheat, 2024-02-20, 2.5, 5,S001
Brown Sugar, 2024-08-15, 1.8, 2,S002
Green Tea, 2024-11-10, 3.2, 5,S003
Almond Milk, 2024-05-25, 4.5, 13,S004
Quinoa, 2024-09-01, 5.0, 15,S005
Olive Oil, 2024-03-18, 8.0, 15,S001
Coconut Oil, 2024-06-22, 7.5, 7,S002
Apple Cider, 2024-10-15, 6.0, 2,S003
Banana Bread, 2024-04-12, 3.5, 3,S004
Granola, 2024-07-20, 4.2, 6,S005
Protein Powder, 2024-01-15, 15.0, 3,S001
Peanut Butter, 2024-09-25, 8.5, 12,S002
Jelly, 2024-05-10, 2.0, 3,S003
Honey, 2024-11-05, 5.5, 13,S004
Almond Butter, 2024-03-25, 10.0, 11,S005
Cashew Nuts, 2024-08-01, 12.0, 5,S001
Walnuts, 2024-06-15, 11.0, 1,S002
Pecans, 2024-10-01, 10.5, 1,S003
Brazil Nuts, 2024-04-20, 9.0, 10,S004
Pistachios, 2024-07-15, 8.5, 6,S005
Dried Cran, 2024-02-15, 5.0, 8,S001
Apricots, 2024-09-10, 4.5, 4,S002
Prunes, 2024-05-25, 4.0, 6,S003
Raisins, 2024-11-15, 3.5, 2,S004
Figs, 2024-03-10, 6.0, 8,S005
Dates, 2024-08-20, 5.5, 14,S001
Coconut Flakes, 2024-06-10, 4.2, 6,S002
Oatmeal, 2024-10-20, 4.0, 12,S003
Brown Rice, 2024-04-15, 2.5, 11,S004
Quinoa Flakes, 2024-07-25, 5.0, 11,S005
Cereal, 2024-01-20, 3.0, 5,S001
Energy Bars, 2024-05-20, 5.0, 13,S003
Trail Mix, 2024-11-10, 4.2, 13,S004
Dried Fruits, 2024-03-15, 6.0, 10,S005
Nuts Mix, 2024-08-25, 7.5, 7,S001
Seeds Mix, 2024-06-20, 6.5, 4,S002
Coffee, 2024-10-25, 8.0, 4,S003
Tea, 2024-04-25, 7.0, 14,S004
Chocolate, 2024-07-20, 9.0, 2,S005
Baking Powder, 2024-02-25, 2.0, 4,S001
Baking Soda, 2024-09-20, 1.8, 12,S002
Salt, 2024-05-30, 1.5, 9,S003
Sugar, 2024-11-20, 2.2, 4,S004
Flour, 2024-03-20, 3.0, 11,S005
Yeast, 2024-08-30, 2.5, 1,S001
Vanilla, 2024-06-25, 3.5, 9,S002
Cinnamon, 2024-10-30, 4.0, 9,S003
Nutmeg, 2024-04-30, 3.8, 5,S004
Ginger, 2024-07-30, 4.2, 3,S005
Turmeric, 2024-01-25, 3.5, 14,S001
Paprika, 2024-09-25, 4.0, 10,S002
Garlic Powder, 2024-05-30, 3.2, 3,S003
Onion Powder, 2024-11-25, 3.0, 7,S004
Chili Powder, 2024-03-25, 3.5, 3,S005
Cumin, 2024-08-30, 3.8, 6,S001
Coriander, 2024-06-30, 4.2, 9,S002
Basil, 2024-10-30, 4.5, 5,S003
Oregano, 2024-04-30, 4.0, 2,S004
Thyme, 2024-07-30, 4.2, 7,S005
Rosemary, 2024-02-28, 4.5, 7,S001
Sage, 2024-09-28, 4.2, 13,S002
Parsley, 2024-05-31, 4.0, 4,S003
Dill, 2024-11-28, 4.2, 15,S004
Bay Leaves, 2024-03-28, 4.5, 5,S005
