ItemID,Description,Quantity,ReorderLevel,ReorderQuantity,Category,UnitCost,TotalValue,Supplier,Specs,DateLastUpdated,CriticalLevel,Sold_items,Earned
1001,Intel Xeon,28,7,31,1,885.0,27435.0,Intel,"12 cores, 3.9 GHz max turbo frequency, 2 GHz processor base frequency, 22.5 MB cache, 115 W TDP",2023-12-22,3,5,2655
1002,ASUS ROG STRIX,18,4,18,9,642.04,11556.72,Asus,"Operating System: Windows 11 Pro , Processor: 13th Gen Intel Core i9-13980HX ,Memory: 16GB DDR5-4800 SO-DIMM *2 ,Graphics: NVIDIA GeForce RTX 4070 ,Display: ROG Nebula Display ",13/12/2023,2,0,0
1003,Corsair Vengeance 32GB,29,8,34,2,329.0,11186.0,Corsair,"Memory Type: DDR4 DRAM, Memory Size: 32GB (2 x 16GB),Tested Speed: 3600 MT/s,Tested Latency: 18-22-22-42,Color: Black, Price: $84.99 USD",15/12/2023,6,5,1645
1004,SanDisk 1TB Portable SSD,50,12,50,3,246.0,12300.0,SanDisk,"Memory Type: NVMe solid state,Memory Size: 1TB,Read Speed: Up to 1050 MB/s, Write Speed: Up to 1000 MB/s,Durability: IP65-rated for water and dust resistance, up to 1500G shock resistant, 5 gRMS vibration resistant,Dimensions: 3.96 x 2.06 x 0.35 in. (100.54 x 52.42 x 8.95 mm),Operating Temperature: 0�C to 45�C,Storage Temperature: 20�C to 85�C,Warranty: 5-year limited [US Only]; 5-year [ROW]",14/12/2023,6,0,0
1005,SAMSUNG Odyssey G75 inch,10,2,10,4,1538.45,15384.5,Samsung,"Size: 32 inches,Pixel Type: VA,Max Refresh Rate: 240 Hz,Variable Refresh Rate: Yes,Native Resolution: 2560 x 1440,HDR10: Yes,Brightness (Typical): 350cd/?,Contrast Ratio Static: 2,500:1 (Typ.),Response Time: 1ms (GtG),Screen Curvature: 1000R",10/12/2023,2,0,0
1006,Asus ROG STRIX Power supply unit,50,12,50,5,150.0,7500.0,Asus,"Model: ROG-STRIX-1000G,Power Output: 1000W,Efficiency Rating: 80 Plus Gold,Modularity: Fully modular,Cooling: Axial-tech fan design,Noise Level: 0dB Technology,Japanese Capacitors: Yes,Cosmetic Customization: Magnetic logo and stickers,Warranty: 10-year limited",10/12/2023,6,0,0
1007,AMD Radeon RX 7800 XT,60,15,60,6,145.0,8700.0,AMD,"Graphics Processor: Navi 32,Cores: 3840,TMUs: 240,ROPs: 96,Memory Size: 16 GB,Memory Type: GDDR6,Bus Width: 256 bit,GPU I/O: Top Rear PCB Front PCB Back",10/12/2023,5,0,0
1008,NZXT H5 Flow Compact Mid Tower Air Flow PC Case,30,7,30,7,359.0,10770.0,NZXT,"Motherboard Support: Mini-ITX, Micro-ATX, ATX,Enclosure Type: Mid-Tower,Case Material: SGCC Steel",14/12/2023,2,0,0
1009,Logitech MX Master 2S,30,7,30,8,290.0,8700.0,Logitech,"Model Number: M-R0066,Wireless Protocol: Unifying 2.4 GHz Bluetooth 4.0,Software Support (at release): Logitech Options",10/12/2023,5,0,0
1010,SteelSeries Apex Pro TKL,100,25,100,8,532.49,53249.0,SteelSeries,"Model Number: 64734,Switch Type: OmniPoint 2.0 Adjustable HyperMagnetic Switches,Actuation Point: 0.1 mm to 4.0 mm,Force: 45cN,Response Time: 0.7 ms,Lifetime: 100 Million Keypresses,Form Factor: Tenkeyless",10/12/2023,4,0,0
1011,Intel Core i5,25,6,25,1,647.63,16190.75,Intel,"Processor Number: i5,Number of Cores: 4,Number of Threads: 8",2023-12-22,2,0,0
1012,Intel Core i7,25,6,25,1,1625.64,40641.0,Intel,"Processor Number: i7,Number of Cores: Varies by model,Number of Threads: Varies by model",10/12/2023,2,0,0
1013,AMD Ryzen 9,25,6,25,1,2205.0,55125.0,AMD,"Processor Number: Ryzen 9,Number of Cores: Varies by model,Number of Threads: Varies by model,Clock Speed: Varies by model",10/12/2023,2,0,0
1014,AMD Ryzen 7,25,6,25,1,1614.0,40350.0,AMD,"Processor Number: Ryzen 7,Number of Cores: Varies by model,Number of Threads: Varies by model,Clock Speed: Varies by model",10/12/2023,2,0,0
1015,Kingston HyperX Fury 32GB,75,18,75,2,288.0,21600.0,Kingston,"Memory Type: DDR4,Capacity: 32 GB,Speed: 3200 MHz,Latency: CL16",10/12/2023,6,0,0
1016,TeamGroup T-Force Vulcan 32GB,65,16,65,2,319.0,20735.0,TeamGroup,"Memory Type: DDR4,Capacity: 32 GB,Speed: Varies by model,Latency: Varies by model,",10/12/2023,5,0,0
1017,Samsung 970 EVO,50,12,50,3,210.0,10500.0,Samsung,"Memory Type: V-NAND,Capacity: Varies by model,Interface: PCIe Gen 3.0 x4- NVMe 1.3,Form Factor: M.2 (2280)",10/12/2023,4,0,0
1018,ASUS ROG Swift,15,3,15,4,4289.25,64338.75,ASUS,"Model: ASUS ROG Swift OLED PG27AQDM,Display Size: 26.5 inches,Resolution: 2560 x 1440 pixels",10/12/2023,1,0,0
1019,Seasonic Focus GX-850,40,10,40,5,580.0,23200.0,Seasonic,"Wattage: 850 W,80 PLUS Certification: Gold,Modularity: Full,Dimensions: 140 mm (L) x 150 mm (W) x 86 mm (H),Fan Size: 135 mm",10/12/2023,3,0,0
1020,Razer Blackshark V2,50,12,50,10,158.0,7900.0,Razer,,2023-12-21,4,0,0
1021,Headybro,100,25,50,4,50.0,5000.0,Anush,,2023-12-22,8,0,0
